"game_id","name","max_players","playtime","min_age","min_players","age_of_game","users_rated","rating","CardGame","Wargame","Fantasy","Fighting","Economic","Science.Fiction","Dice","Party.Game","AbstractStrategy","Childrens.Game","WorldWarII","Bluffing","Humor","Animals","Adventure","Medieval","Action.Dexterity","Deduction","Movies.TV.Radiotheme","Miniatures"
185,"Devil Bunny Needs a Ham",5,30,8,2,24,680,5.39,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
186,"Split",6,30,12,2,23,157,5.81686,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
189,"Die Siedler von Nürnberg",4,90,10,3,23,831,6.97379,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
190,"Dolce Vita",5,30,10,3,23,183,6.15628,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
192,"Nicht die Bohne!",6,45,10,3,23,881,6.3659,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
193,"Fill or Bust",10,30,8,2,41,401,5.69269,"No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
194,"Groo: The Game",4,45,10,2,25,752,6.26817,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
195,"NASCAR Champions",5,30,8,2,24,90,5.36389,"No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
196,"Kremlin",6,75,12,3,36,2452,6.99614,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
197,"HellRail (Second Perdition)",4,75,13,3,23,92,6.07118,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
198,"Buried Treasure",4,30,10,2,30,228,6.01825,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
199,"Manhattan",4,45,10,2,28,3694,6.68878,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
200,"Entdecker",4,60,10,2,26,1239,6.50041,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
201,"The Rose King",2,30,10,2,25,2361,6.82082,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No"
202,"Targui",4,120,12,2,34,600,6.33415,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
204,"Stephenson's Rocket",4,60,12,2,23,2081,6.87101,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
206,"Pepper",9,45,10,3,24,105,5.75714,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
207,"Twitch",6,15,10,3,24,169,6.17692,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
208,"Ex & Hopp",6,30,10,2,26,61,5.39016,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
210,"Don Pepe",6,30,8,3,23,345,6.24783,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
211,"Times to Remember",10,45,10,2,30,198,6.29091,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
214,"Café International",4,60,10,2,33,1994,6.28113,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
215,"Tichu",10,60,10,3,31,10556,7.60888,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
216,"Atlanteon",2,30,12,2,30,648,5.81039,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
217,"A la carte",4,30,13,2,33,2629,6.50098,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
